name,series,variant,sku,rarity,images,description,msrp,retailUrl,lastSalePrice,floorPrice,priceSources,affiliateLinks,stockStatus,attributes,estimatedValue,priceRange,confidenceScore,priceChange24h,recentSales,priceHistory
Zizi,Have a Seat (V2),Zizi,LBB-HAS-ZI,common,[],Zizi from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-zizi,,,[],[],out_of_stock,{},,{},75,,[],[]
Ququ,Have a Seat (V2),Ququ,LBB-HAS-QU,common,[],Ququ from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-ququ,,,[],[],out_of_stock,{},,{},75,,[],[]
Dada,Have a Seat (V2),Dada,LBB-HAS-DA,common,[],Dada from Labubu V2 Have a Seat blind box.,27.99,https://www.popmart.com/us/products/labubu-dada,,,[],[],out_of_stock,{},,{},75,,[],[]
DuoDuo,Have a Seat (V2),Secret: DuoDuo,LBB-HAS-SD,secret,[],Secret character from V2 (DuoDuo).,27.99,https://www.popmart.com/us/products/labubu-duoduo,,,[],[],out_of_stock,{},,{},75,,[],[]
Love,Big Into Energy (V3),Love,LBB-BIE-LO,common,[],Love from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-love,,,[],[],out_of_stock,{},,{},75,,[],[]
Happiness,Big Into Energy (V3),Happiness,LBB-BIE-HA,common,"[https://global-static.popmart.com/globalAdmin/1745405664470____happiness____.png?x-oss-process=image/format,webp]",Happiness from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-happiness,,,[],[],out_of_stock,{},,{},75,,[],[]
Loyalty,Big Into Energy (V3),Loyalty,LBB-BIE-LO,common,"[https://global-static.popmart.com/globalAdmin/1745405695191____luck____.png?x-oss-process=image/format,webp]",Loyalty from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-loyalty,,,[],[],out_of_stock,{},,{},75,,[],[]
Serenity,Big Into Energy (V3),Serenity,LBB-BIE-SE,common,[],Serenity from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-serenity,,,[],[],out_of_stock,{},,{},75,,[],[]
Hope,Big Into Energy (V3),Hope,LBB-BIE-HO,common,"https://global-static.popmart.com/globalAdmin/1745405686256____hope____.png?x-oss-process=image/format,webp",Hope from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-hope,,,[],[],out_of_stock,{},,{},75,,[],[]
Luck,Big Into Energy (V3),Luck,LBB-BIE-LU,common,[],Luck from Labubu V3 Big Into Energy blind box.,27.99,https://www.popmart.com/us/products/labubu-luck,,,[],[],out_of_stock,{},,{},75,,[],[]
ID,Big Into Energy (V3),Secret: ID,LBB-BIE-ID,secret,"https://global-static.popmart.com/globalAdmin/1745405704500____id-secret____.png?x-oss-process=image/format,webp",Secret character from V3 (ID/Secret).,27.99,https://www.popmart.com/us/products/labubu-id,,,[],[],out_of_stock,{},,{},75,,[],[]
Adventure,Pin for Love (V4),A – Adventure,LBB-PFL-A,common,[],Pin for Love V4 mini Labubu: A – Adventure,22.99,https://www.popmart.com/us/products/labubu-a-adventure,,,[],[],out_of_stock,{},,{},75,,[],[]
Belief,Pin for Love (V4),B – Belief,LBB-PFL-B,common,[],Pin for Love V4 mini Labubu: B – Belief,22.99,https://www.popmart.com/us/products/labubu-b-belief,,,[],[],out_of_stock,{},,{},75,,[],[]
Charming,Pin for Love (V4),C – Charmin,LBB-PFL-C,common,[],Pin for Love V4 mini Labubu: C – Charming,22.99,https://www.popmart.com/us/products/labubu-c-charming,,,[],[],out_of_stock,{},,{},75,,[],[]
Dollar,Pin for Love (V4),D – Dollar,LBB-PFL-D,common,[],Pin for Love V4 mini Labubu: D – Dollar,22.99,https://www.popmart.com/us/products/labubu-d-dollar,,,[],[],out_of_stock,{},,{},75,,[],[]
Equality,Pin for Love (V4),E – Equality,LBB-PFL-E,common,[],Pin for Love V4 mini Labubu: E – Equality,22.99,https://www.popmart.com/us/products/labubu-e-equality,,,[],[],out_of_stock,{},,{},75,,[],[]
Future,Pin for Love (V4),F – Future,LBB-PFL-F,common,[],Pin for Love V4 mini Labubu: F – Future,22.99,https://www.popmart.com/us/products/labubu-f-future,,,[],[],out_of_stock,{},,{},75,,[],[]
Giving,Pin for Love (V4),G – Giving,LBB-PFL-G,common,[],Pin for Love V4 mini Labubu: G – Giving,22.99,https://www.popmart.com/us/products/labubu-g-giving,,,[],[],out_of_stock,{},,{},75,,[],[]
Happiness,Pin for Love (V4),H – Happiness,LBB-PFL-H,common,[],Pin for Love V4 mini Labubu: H – Happiness,22.99,https://www.popmart.com/us/products/labubu-h-happiness,,,[],[],out_of_stock,{},,{},75,,[],[]
Imagination,Pin for Love (V4),I – Imagination,LBB-PFL-I,common,[],Pin for Love V4 mini Labubu: I – Imagination,22.99,https://www.popmart.com/us/products/labubu-i-imagination,,,[],[],out_of_stock,{},,{},75,,[],[]
Joy,Pin for Love (V4),J – Joy,LBB-PFL-J,common,[],Pin for Love V4 mini Labubu: J – Joy,22.99,https://www.popmart.com/us/products/labubu-j-joy,,,[],[],out_of_stock,{},,{},75,,[],[]
Knowledge,Pin for Love (V4),K – Knowledge,LBB-PFL-K,common,[],Pin for Love V4 mini Labubu: K – Knowledge,22.99,https://www.popmart.com/us/products/labubu-k-knowledge,,,[],[],out_of_stock,{},,{},75,,[],[]
Love,Pin for Love (V4),L – Love,LBB-PFL-L,common,[],Pin for Love V4 mini Labubu: L – Love,22.99,https://www.popmart.com/us/products/labubu-l-love,,,[],[],out_of_stock,{},,{},75,,[],[]
Motivation,Pin for Love (V4),M – Motivation,LBB-PFL-M,common,[],Pin for Love V4 mini Labubu: M – Motivation,22.99,https://www.popmart.com/us/products/labubu-m-motivation,,,[],[],out_of_stock,{},,{},75,,[],[]
? – Question Mark,Pin for Love (V4),? – Question Mark,LBB-PFL-QM,rare,[],Special variant '?' called Emm.,22.99,https://www.popmart.com/us/products/labubu-emm,,,[],[],out_of_stock,{},,{},75,,[],[]
Heart,Pin for Love (V4),Secret: Heart,LBB-PFL-SH,secret,[],Secret character 'Heart' in V4.,22.99,https://www.popmart.com/us/products/labubu-secret-heart,,,[],[],out_of_stock,{},,{},75,,[],[]
Nice,Pin for Love (V4),N – Nice,LBB-PFL-N,common,[],Pin for Love V4 mini Labubu: N – Nice,22.99,https://www.popmart.com/us/products/labubu-n-nice,,,[],[],out_of_stock,{},,{},75,,[],[]
Openness,Pin for Love (V4),O – Openness,LBB-PFL-O,common,[],Pin for Love V4 mini Labubu: O – Openness,22.99,https://www.popmart.com/us/products/labubu-o-openness,,,[],[],out_of_stock,{},,{},75,,[],[]
Peace,Pin for Love (V4),P – Peace,LBB-PFL-P,common,[],Pin for Love V4 mini Labubu: P – Peace,22.99,https://www.popmart.com/us/products/labubu-p-peace,,,[],[],out_of_stock,{},,{},75,,[],[]
Quiet,Pin for Love (V4),Q – Quiet,LBB-PFL-Q,common,[],Pin for Love V4 mini Labubu: Q – Quiet,22.99,https://www.popmart.com/us/products/labubu-q-quiet,,,[],[],out_of_stock,{},,{},75,,[],[]
Respect,Pin for Love (V4),R – Respect,LBB-PFL-R,common,[],Pin for Love V4 mini Labubu: R – Respect,22.99,https://www.popmart.com/us/products/labubu-r-respect,,,[],[],out_of_stock,{},,{},75,,[],[]
Smile,Pin for Love (V4),S – Smile,LBB-PFL-S,common,[],Pin for Love V4 mini Labubu: S – Smile,22.99,https://www.popmart.com/us/products/labubu-s-smile,,,[],[],out_of_stock,{},,{},75,,[],[]
Trust,Pin for Love (V4),T – Trust,LBB-PFL-T,common,[],Pin for Love V4 mini Labubu: T – Trust,22.99,https://www.popmart.com/us/products/labubu-t-trust,,,[],[],out_of_stock,{},,{},75,,[],[]
Unity,Pin for Love (V4),U – Unity,LBB-PFL-U,common,[],Pin for Love V4 mini Labubu: U – Unity,22.99,https://www.popmart.com/us/products/labubu-u-unity,,,[],[],out_of_stock,{},,{},75,,[],[]
Victory,Pin for Love (V4),V – Victory,LBB-PFL-V,common,[],Pin for Love V4 mini Labubu: V – Victory,22.99,https://www.popmart.com/us/products/labubu-v-victory,,,[],[],out_of_stock,{},,{},75,,[],[]
Win,Pin for Love (V4),W – Win,LBB-PFL-W,common,[],Pin for Love V4 mini Labubu: W – Win,22.99,https://www.popmart.com/us/products/labubu-w-win,,,[],[],out_of_stock,{},,{},75,,[],[]
XFactor,Pin for Love (V4),X – XFactor,LBB-PFL-X,common,[],Pin for Love V4 mini Labubu: X – XFactor,22.99,https://www.popmart.com/us/products/labubu-x-xfactor,,,[],[],out_of_stock,{},,{},75,,[],[]
Yes,Pin for Love (V4),Y – Yes,LBB-PFL-Y,common,[],Pin for Love V4 mini Labubu: Y – Yes,22.99,https://www.popmart.com/us/products/labubu-y-yes,,,[],[],out_of_stock,{},,{},75,,[],[]
Zest,Pin for Love (V4),Z – Zest,LBB-PFL-Z,common,[],Pin for Love V4 mini Labubu: Z – Zest,22.99,https://www.popmart.com/us/products/labubu-z-zest,,,[],[],out_of_stock,{},,{},75,,[],[]
&,Pin for Love (V4),& – And,LBB-PFL-AND,common,[],Pin for Love V4 mini Labubu: & – And,22.99,https://www.popmart.com/us/products/labubu-and,,,[],[],out_of_stock,{},,{},75,,[],[]
!,Pin for Love (V4),Secret: !,LBB-PFL-SE,secret,[],Secret exclamation character in V4.,22.99,https://www.popmart.com/us/products/labubu-secret-exclamation,,,[],[],out_of_stock,{},,{},75,,[],[]
Time to Chill,Plush Releases,Time to Chill,LBB-PLR-TTC,common,[],Plush release: Time to Chill.,82.99,https://www.popmart.com/us/products/labubu-time-to-chill,,,[],[],discontinued,{},,{},75,,[],[]
Dress Be Latte,Plush Releases,Dress Be Latte,LBB-PLR-DBL,common,[],Plush release: Dress Be Latte.,84.99,https://www.popmart.com/us/products/labubu-dress-be-latte,,,[],[],discontinued,{},,{},75,,[],[]
Flip With Me,Plush Releases,Flip With Me,LBB-PLR-FWM,common,[],Plush release: Flip With Me.,99.99,https://www.popmart.com/us/products/labubu-flip-with-me,,,[],[],discontinued,{},,{},75,,[],[]
Fall In Wild,Plush Releases,Fall In Wild,LBB-PLR-FIW,common,[],Plush release: Fall In Wild.,99.99,https://www.popmart.com/us/products/labubu-fall-in-wild,,,[],[],discontinued,{},,{},75,,[],[]
Lets Checkmate,Plush Releases,Lets Checkmate,LBB-PLR-LC,common,[],Plush release: Lets Checkmate.,46.99,https://www.popmart.com/us/products/labubu-lets-checkmate,,,[],[],discontinued,{},,{},75,,[],[]
Catch Me If You Like Me,Plush Releases,Catch Me If You Like Me,LBB-PLR-CMI,common,[],Plush release: Catch Me If You Like Me.,114.99,https://www.popmart.com/us/products/labubu-catch-me-if-you-like-me,,,[],[],discontinued,{},,{},75,,[],[]
Be Fancy Now,Plush Releases,Be Fancy Now,LBB-PLR-BFN,common,[],Plush release: Be Fancy Now.,99.99,https://www.popmart.com/us/products/labubu-be-fancy-now,,,[],[],discontinued,{},,{},75,,[],[]
Walk By Fortune,Regional (China),Walk By Fortune,LBB-REG-WBF,common,[],Plush release: Walk By Fortune.,CNY 500,https://www.popmart.com/us/products/labubu-walk-by-fortune,,,[],[],out_of_stock,{},,{},75,,[],[]
Sitting Pumpkin,Special Releases,Sitting Pumpkin,LBB-PLR-SOP,common,[],Plush release: Sit On Pumpkin.,42.99,https://www.popmart.com/us/products/labubu-sit-on-pumpkin,,,[],[],out_of_stock,{},,{},75,,[],[]
Jump For Joy,Regional (China),Jump For Joy,LBB-REG-JFJ,common,[],Plush release: Jump For Joy.,CNY 500,https://www.popmart.com/us/products/labubu-jump-for-joy,,,[],[],discontinued,{},,{},75,,[],[]
Best Of Luck,Plush Releases,Best Of Luck,LBB-PLR-BOL,common,[],Plush release: Best Of Luck.,84.99,https://www.popmart.com/us/products/labubu-best-of-luck,,,[],[],discontinued,{},,{},75,,[],[]
Vans,Plush Releases,Vans,LBB-PLR-VA,common,[],Plush release: Vans.,84.99,https://www.popmart.com/us/products/labubu-vans,,,[],[],out_of_stock,{},,{},75,,[],[]
Wings Of Fantasy,Plush Releases,Wings Of Fantasy,LBB-PLR-WOF,common,[],Plush release: Wings Of Fantasy.,119.99,https://www.popmart.com/us/products/labubu-wings-of-fantasy,,,[],[],discontinued,{},,{},75,,[],[]
14th Anniversary,Plush Releases,14th Anniversary,LBB-PLR-1A,common,[],Plush release: 14th Anniversary.,491.05,https://www.popmart.com/us/products/labubu-14th-anniversary,,,[],[],discontinued,{},,{},75,,[],[]
Wings Of Fortune,Plush Releases,Wings Of Fortune,LBB-PLR-WOF,common,[],Plush release: Wings Of Fortune.,54.99,https://www.popmart.com/us/products/labubu-wings-of-fortune,,,[],[],discontinued,{},,{},75,,[],[]
Rock the Universe,Plush Releases,Rock the Universe,LBB-PLR-RTU,common,[],Plush release: Rock the Universe.,114.99,https://www.popmart.com/us/products/labubu-rock-the-universe,,,[],[],out_of_stock,{},,{},75,,[],[]
Hide and Seek,Regional (Singapore),Hide and Seek,LBB-REG-HAS,common,[],Special release: Hide and Seek.,~27.99 (SGD 37.90),https://www.popmart.com/us/products/labubu-hide-and-seek,,,[],[],out_of_stock,{},,{},75,,[],[]
Good Luck to You,Regional (Thailand),Good Luck to You,LBB-REG-GLT,common,[],Special release: Good Luck to You.,~27.99 (THB 1050),https://www.popmart.com/us/products/labubu-good-luck-to-you,,,[],[],out_of_stock,{},,{},75,,[],[]
Forest Fairy Tale,Regional (China),Forest Fairy Tale,LBB-REG-FFT,common,[],Special release: Forest Fairy Tale.,5000 Member Pts,https://www.popmart.com/us/products/labubu-forest-fairy-tale,,,[],[],out_of_stock,{},,{},75,,[],[]
Wacky Mart,Regional (China),Wacky Mart,LBB-REG-WM,common,[],Special release: Wacky Mart.,~7.99 (CNY 59),https://www.popmart.com/us/products/labubu-wacky-mart,,,[],[],out_of_stock,{},,{},75,,[],[]
I Found You,Zimomo releases,I Found You (Zimomo),LBB-ZIR-IFY,common,[],Special release: I Found You (Zimomo).,~55.99 (CNY 399),https://www.popmart.com/us/products/labubu-i-found-you-zimomo,,,[],[],out_of_stock,{},,{},75,,[],[]
Angel In Clouds,Zimomo releases,Angel In Clouds (Zimomo),LBB-ZIR-AIC,common,[],Special release: Angel In Clouds (Zimomo).,~55.99 (CNY 399),https://www.popmart.com/us/products/labubu-angel-in-clouds-zimomo,,,[],[],out_of_stock,{},,{},75,,[],[]
Twinkly Fairy Tale,Mokoko releases,Twinkly Fairy Tale (Mokoko),LBB-MOR-TFT,common,[],Special release: Twinkly Fairy Tale (Mokoko).,~21.99 (CNY 159),https://www.popmart.com/us/products/labubu-twinkly-fairy-tale-mokoko,,,[],[],out_of_stock,{},,{},75,,[],[]
Magic of Pumpkin,Mokoko releases,Magic of Pumpkin (Mokoko),LBB-MOR-MOP,common,[],Special release: Magic of Pumpkin (Mokoko).,~21.99 (CNY 159),https://www.popmart.com/us/products/labubu-magic-of-pumpkin-mokoko,,,[],[],out_of_stock,{},,{},75,,[],[]
Fall into Spring,Mokoko releases,Fall To Spring (Mokoko),LBB-MOR-FTS,common,[],Special release: Fall To Spring (Mokoko).,~83.99 (CNY 599),https://www.popmart.com/us/products/labubu-fall-to-spring-mokoko,,,[],[],out_of_stock,{},,{},75,,[],[]
Surprise Shake,Coca Cola,Coca-Cola,LBB-CLA-SS,common,[],Plush release: Coca-Cola.,46.99,https://www.popmart.com/us/products/labubu-coca-cola,,,[],[],discontinued,{},,{},75,,[],[]
Happy Factor,Coca Cola,Coca-Cola,LBB-CLA-HF,common,[],Plush release: Coca-Cola.,46.99,https://www.popmart.com/us/products/labubu-coca-cola,,,[],[],discontinued,{},,{},75,,[],[]
Mysterious Guest,Coca Cola,Coca-Cola,LBB-CLA-MG,secret,[],Plush release: Coca-Cola.,46.99,https://www.popmart.com/us/products/labubu-coca-cola,,,[],[],discontinued,{},,{},75,,[],[]
